Country,Capital,Population
Afghanistan,Kabul,3140853
Albania,Tirana,763634
Algeria,Algiers,3415811
American Samoa(USA),Pago Pago,52000
Andorra,Andorra la Vella,22884
Angola,Luanda,2453779
Anguilla (UK),The Valley,1169
Antigua and Barbuda,St. John's,22679
Argentina,Buenos Aires,2891082
Armenia,Yerevan,1080487
Aruba (Netherlands),Oranjestad,29998
Australia,Canberra,354644
Austria,Vienna,1749673
Azerbaijan,Baku,2204200
Bahamas,Nassau,248948
Bahrain,Manama,140616
Bangladesh,Dhaka,8906000
Barbados,Bridgetown,110000
Belarus,Minsk,1702061
Belgium,Brussels,1080790
Belize,Belmopan,16451
Benin,Porto-Novo,223552
Bermuda (UK),Hamilton,1010
Bhutan,Thimphu,101259
Bolivia,La Paz,877363
Bosnia and Herzegovina,Sarajevo,395133
Botswana,Gaborone,225656
Brazil,Brasília,2648532
British Virgin Islands(UK),Road Town,9400
Brunei,Bandar Seri Begawan,28135
Bulgaria,Sofia,1090295
Burkina Faso,Ouagadougou,1005231
Burundi,Gitega,23000
Cambodia,Phnom Penh,2011725
Cameroon,Yaoundé,2765568
Canada,Ottawa,934243
Cape Verde,Praia,125464
Cayman Islands(UK),George Town,26798
Central African Republic,Bangui,731548
Chad,N'Djamena,751288
Chile,Santiago,5084038
China PR,Beijing,20693000
Christmas Island(Australia),Flying Fish Cove,1493
Cocos (Keeling) Islands (Australia),West Island,120
Collectivity of Saint Martin (France),Marigot,5700
Colombia,Bogotá,7613303
Comoros,Moroni,60200
Congo,Brazzaville,1827000
Cook Islands (NZ),Avarua,5445
Costa Rica,San José,328195
Croatia,Zagreb,804200
Cuba,Havana,2135498
Curaçao(Netherlands),Willemstad,49885
Cyprus,Nicosia (south),270000
Czech Republic,Prague,1241664
Côte d'Ivoire,Yamoussoukro,454929
DR Congo,Kinshasa,10125000
Denmark,Copenhagen,562253
Djibouti,Djibouti (city),475332
Dominica,Roseau,14847
Dominican Republic,Santo Domingo,1111838
East Timor,Dili,59069
Ecuador,Quito,1504991
Egypt,Cairo,10230350
El Salvador,San Salvador,521366
England,London,8630100
Equatorial Guinea,Malabo,100677
Eritrea,Asmara,1258001
Estonia,Tallinn,440206
Eswatini (Swaziland),Mbabane,81594
Ethiopia,Addis Ababa,3040740
Falkland Islands(UK),Stanley,2115
Faroe Islands(Denmark),Tórshavn,18573
Federated States of Micronesia,Palikir,9900
Fiji,Suva,84410
Finland,Helsinki,635591
France,Paris,2241346
French Polynesia(France),Papeete,26200
Gabon,Libreville,556425
Gambia,Banjul,34828
Georgia,Tbilisi,1044993
Germany,Berlin,3520000
Ghana,Accra,1640507
Gibraltar (UK),Gibraltar,29286
Greece,Athens,3090508
Greenland(Denmark),Nuuk (Godthåb),15469
Grenada,St. George's,7500
Guam (US),Hagåtña,1100
Guatemala,Guatemala City,1022000
Guernsey (UK),St. Peter Port,16701
Guinea,Conakry,1399981
Guinea-Bissau,Bissau,452640
Guyana,Georgetown,134599
Haiti,Port-au-Prince,1235227
Honduras,Tegucigalpa,735982
Hong Kong (China),Hong Kong,7298600
Hungary,Budapest,1729040
Iceland,Reykjavík,115000
India,New Delhi,16787949
Indonesia,Jakarta,10187595
Iran,Tehran,8846782
Iraq,Baghdad,7216040
Ireland,Dublin,1173179
Isle of Man (UK),Douglas,26600
Israel,Jerusalem[51],780200
Italy,Rome,2868104
Jamaica,Kingston,701063
Japan,Tokyo,13491000
Jersey (UK),Saint Helier,28380
Jordan,Amman,2600603
Kazakhstan,Nur-Sultan (Astana),1029556
Kenya,Nairobi,3138369
Kiribati,Tarawa,30000
Kosovo,Prishtina,198214
Kurdistan,Hewler,932800
Kuwait,Kuwait City,1171880
Kyrgyzstan,Bishkek,843240
Laos,Vientiane,287579
Latvia,Riga,713016
Lebanon,Beirut,1574387
Lesotho,Maseru,267652
Liberia,Monrovia,1010970
Libya,Tripoli,1184045
Liechtenstein,Vaduz,5248
Lithuania,Vilnius,556723
Luxembourg,Luxembourg,76420
Macau (China),Macau,520400
Madagascar,Antananarivo,1613375
Malawi,Lilongwe,902388
Malaysia,Kuala Lumpur,1381830
Maldives,Malé,103693
Mali,Bamako,1289626
Malta,Valletta,6444
Marshall Islands,Majuro,25400
Mauritania,Nouakchott,719167
Mauritius,Port Louis,147251
Mexico,Mexico City,8851080
Moldova,Chişinău,794800
Monaco,Monaco,35986
Mongolia,Ulaanbaatar,907802
Montenegro,Podgorica,141854
Montserrat (UK),Brades (de facto),391
Morocco,Rabat,1789635
Mozambique,Maputo,1076689
Myanmar,Naypyidaw[44],925000
Nagorno-Karabakh Republic,Stepanakert,49986
Namibia,Windhoek,252721
Nauru,Yaren (de facto),1100
Nepal,Kathmandu,1003285
Netherlands,Amsterdam,855965
New Caledonia(France),Nouméa,89207
New Zealand,Wellington,405000
Nicaragua,Managua,926883
Niger,Niamey,794814
Nigeria,Abuja,778567
Niue (NZ),Alofi,616
Norfolk Island(Australia),Kingston,880
North Korea,Pyongyang,3144005
North Macedonia,Skopje,521000
Northern Cyprus,Nicosia (north),84893
Northern Ireland,Belfast,333871
Northern Mariana Islands (USA),Saipan,62392
Norway,Oslo,645701
Oman,Muscat,797000
Pakistan,Islamabad,955629
Palau,Ngerulmud,391
Palestine,Ramallah (de facto),25500
Panama,Panama City,813097
Papua New Guinea,Port Moresby,299396
Paraguay,Asunción,520722
Peru,Lima,8481415
Philippines,Manila,12877253
Pitcairn Islands (UK),Adamstown,56
Poland,Warsaw,1711324
Portugal,Lisbon,564657
Puerto Rico (US),San Juan,421356
Qatar,Doha,1450000
Romania,Bucharest,1942254
Russia,Moscow,11541000
Rwanda,Kigali,718414
Sahrawi Arab Democratic Republic,El Aaiún (claimed) Tifariti (factual),194668
Saint Barthélemy(France),Gustavia,6000
Saint Helena (UK),Jamestown,714
Saint Kitts and Nevis,Basseterre,13043
Saint Lucia,Castries,70000
Saint Pierre and Miquelon (France),Saint-Pierre,5509
Saint Vincent and the Grenadines,Kingstown,40020
Samoa,Apia,39813
San Marino,City of San Marino,4493
Saudi Arabia,Riyadh,4878723
Scotland,Edinburgh,492680
Senegal,Dakar,1030594
Serbia,Belgrade,1154589
Seychelles,Victoria,29298
Sierra Leone,Freetown,1070200
Singapore,Singapore,5535000
Sint Maarten(Netherlands),Philipsburg,1338
Slovakia,Bratislava,424207
Slovenia,Ljubljana,280140
Solomon Islands,Honiara,59288
Somalia,Mogadishu,1097133
South Africa,Pretoria,2345908
South Georgia and the South Sandwich Islands (UK),King Edward Point,18
South Korea,Seoul,9989795
South Sudan,Juba,372410
Spain,Madrid,3233527
Sri Lanka,Colombo,118556
Sudan,Khartoum,1740661
Suriname,Paramaribo,254147
Svalbard (Norway),Longyearbyen,2075
Sweden,Stockholm,1515017
Switzerland,Berne (de facto),121631
Syria,Damascus,3500000
São Tomé and Príncipe,São Tomé,56166
Taiwan,Taipei,2704810
Tajikistan,Dushanbe,582496
Tanzania,Dodoma,287200
Thailand,Bangkok,8249117
Togo,Lomé,824738
Tokelau (NZ),Atafu,524
Tonga,Nukuʻalofa,22400
Transnistria,Tiraspol,159163
Trinidad and Tobago,Port of Spain,50479
Tunisia,Tunis,767629
Turkey,Ankara,5150072
Turkmenistan,Ashgabat,763537
Turks and Caicos Islands (UK),Cockburn Town,3700
